date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:04:20	0/0	---M--	302	error ('FOUND')	text/plain	date:Wed,%2015%20Apr%202026%2006:04:19%20GMT	http://web.archive.org/web/20080105035258/http://pixma-faq.periastron.com/	C:/Users/captmicr0/Desktop/pixma-faq/pixma-aq.periastron.com/web.archive.org/web/20080105035258/http_/pixma-faq.periastron.com/index.html	(from )
02:04:20	0/0	---M--	302	error ('FOUND')	text/plain	date:Wed,%2015%20Apr%202026%2006:04:18%20GMT	https://web.archive.org/web/20080101103419/http://pixma-faq.periastron.com/1.html	C:/Users/captmicr0/Desktop/pixma-faq/pixma-aq.periastron.com/web.archive.org/web/20080101103419/http_/pixma-faq.periastron.com/1.0.delayed	(from )
02:04:20	36091/36091	U--MCZ	200	updated ('OK')	text/html	date:Wed,%2015%20Apr%202026%2006:04:19%20GMT	https://web.archive.org/web/20080105035258/http://pixma-faq.periastron.com/1.html	C:/Users/captmicr0/Desktop/pixma-faq/pixma-aq.periastron.com/web.archive.org/web/20080105035258/http_/pixma-faq.periastron.com/1.html	(from )
02:04:39	0/0	---M--	302	error ('FOUND')	text/plain	date:Wed,%2015%20Apr%202026%2006:04:38%20GMT	https://web.archive.org/web/20080101103419/http://pixma-faq.periastron.com/2.html	C:/Users/captmicr0/Desktop/pixma-faq/pixma-aq.periastron.com/web.archive.org/web/20080101103419/http_/pixma-faq.periastron.com/2.2.delayed	(from )
02:04:40	0/0	---M--	302	error ('FOUND')	text/plain	date:Wed,%2015%20Apr%202026%2006:04:39%20GMT	https://web.archive.org/web/20080101103419/http://pixma-faq.periastron.com/3.html	C:/Users/captmicr0/Desktop/pixma-faq/pixma-aq.periastron.com/web.archive.org/web/20080101103419/http_/pixma-faq.periastron.com/3.4.delayed	(from )
02:04:40	18684/18684	U--MCZ	200	updated ('OK')	text/html	date:Wed,%2015%20Apr%202026%2006:04:39%20GMT	https://web.archive.org/web/20080105035303/http://pixma-faq.periastron.com/2.html	C:/Users/captmicr0/Desktop/pixma-faq/pixma-aq.periastron.com/web.archive.org/web/20080105035303/http_/pixma-faq.periastron.com/2.html	(from )
02:04:40	37267/37267	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Apr%202026%2006:04:39%20GMT	https://web.archive.org/web/20071102114328/http://users.cjb.net/pixma-faq/4.html	C:/Users/captmicr0/Desktop/pixma-faq/pixma-aq.periastron.com/web.archive.org/web/20071102114328/http_/users.cjb.net/pixma-faq/4.html	(from )
02:04:41	34461/34461	U--MCZ	200	updated ('OK')	text/html	date:Wed,%2015%20Apr%202026%2006:04:40%20GMT	https://web.archive.org/web/20080105035309/http://pixma-faq.periastron.com/3.html	C:/Users/captmicr0/Desktop/pixma-faq/pixma-aq.periastron.com/web.archive.org/web/20080105035309/http_/pixma-faq.periastron.com/3.html	(from )
02:04:42	0/0	---M--	302	error ('FOUND')	text/plain	date:Wed,%2015%20Apr%202026%2006:04:41%20GMT	https://web.archive.org/web/20080101103419/http://pixma-faq.periastron.com/5.html	C:/Users/captmicr0/Desktop/pixma-faq/pixma-aq.periastron.com/web.archive.org/web/20080101103419/http_/pixma-faq.periastron.com/5.html	(from )
02:04:43	0/0	---M--	302	error ('FOUND')	text/plain	date:Wed,%2015%20Apr%202026%2006:04:42%20GMT	https://web.archive.org/web/20080101103419/http://pixma-faq.periastron.com/6.html	C:/Users/captmicr0/Desktop/pixma-faq/pixma-aq.periastron.com/web.archive.org/web/20080101103419/http_/pixma-faq.periastron.com/6.html	(from )
02:04:43	28082/28082	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Apr%202026%2006:04:42%20GMT	https://web.archive.org/web/20070918210416/http://users.cjb.net/pixma-faq/7.html	C:/Users/captmicr0/Desktop/pixma-faq/pixma-aq.periastron.com/web.archive.org/web/20070918210416/http_/users.cjb.net/pixma-faq/7.html	(from )
02:04:43	30027/30027	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Apr%202026%2006:04:42%20GMT	https://web.archive.org/web/20071102082403/http://pixma-faq.periastron.com/8.html	C:/Users/captmicr0/Desktop/pixma-faq/pixma-aq.periastron.com/web.archive.org/web/20071102082403/http_/pixma-faq.periastron.com/8.html	(from )
02:04:43	23157/23157	U--MCZ	200	updated ('OK')	text/html	date:Wed,%2015%20Apr%202026%2006:04:42%20GMT	https://web.archive.org/web/20080105035319/http://pixma-faq.periastron.com/5.html	C:/Users/captmicr0/Desktop/pixma-faq/pixma-aq.periastron.com/web.archive.org/web/20080105035319/http_/pixma-faq.periastron.com/5.html	(from )
02:04:44	16920/16920	U--MCZ	200	updated ('OK')	text/html	date:Wed,%2015%20Apr%202026%2006:04:43%20GMT	https://web.archive.org/web/20080105040133/http://pixma-faq.periastron.com/6.html	C:/Users/captmicr0/Desktop/pixma-faq/pixma-aq.periastron.com/web.archive.org/web/20080105040133/http_/pixma-faq.periastron.com/6.html	(from )
02:04:45	0/0	---M--	302	error ('FOUND')	text/plain	date:Wed,%2015%20Apr%202026%2006:04:44%20GMT	https://web.archive.org/web/20080101103419/http://pixma-faq.periastron.com/9.html	C:/Users/captmicr0/Desktop/pixma-faq/pixma-aq.periastron.com/web.archive.org/web/20080101103419/http_/pixma-faq.periastron.com/9.html	(from )
02:04:45	146/146	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2015%20Apr%202026%2006:04:44%20GMT	http://web.archive.org/robots.txt		(from )
02:04:47	32818/32818	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Apr%202026%2006:04:44%20GMT	https://web.archive.org/web/20070918204849/http://users.cjb.net/pixma-faq/10.html	C:/Users/captmicr0/Desktop/pixma-faq/pixma-aq.periastron.com/web.archive.org/web/20070918204849/http_/users.cjb.net/pixma-faq/10.html	(from )
02:04:47	22814/22814	U--MCZ	200	updated ('OK')	text/html	date:Wed,%2015%20Apr%202026%2006:04:46%20GMT	http://web.archive.org/web/20080101103419/http://pixma-faq.periastron.com/	C:/Users/captmicr0/Desktop/pixma-faq/pixma-aq.periastron.com/web.archive.org/web/20080101103419/http_/pixma-faq.periastron.com/index.html	(from http://web.archive.org/web/20080105035258/http://pixma-faq.periastron.com/)
02:04:47	146/146	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2015%20Apr%202026%2006:04:45%20GMT	https://web.archive.org/robots.txt		(from )
02:04:48	21283/21283	U--MCZ	200	updated ('OK')	text/html	date:Wed,%2015%20Apr%202026%2006:04:45%20GMT	https://web.archive.org/web/20071102082408/http://pixma-faq.periastron.com/9.html	C:/Users/captmicr0/Desktop/pixma-faq/pixma-aq.periastron.com/web.archive.org/web/20071102082408/http_/pixma-faq.periastron.com/9.html	(from )
02:04:48	208/208	---M--	302	error ('FOUND')	text/html	date:Wed,%2015%20Apr%202026%2006:04:47%20GMT	https://web.archive.org/web	C:/Users/captmicr0/Desktop/pixma-faq/pixma-aq.periastron.com/web.archive.org/web	(from https://web.archive.org/web/20080105035258/http://pixma-faq.periastron.com/1.html)
